tag,pde,n_feat,model,seed,source,t,centroid_model,hf_model,centroid_exact,hf_exact,centroid_err,abs_err
MS_burgers_n5_twin_s777,burgers,5,twin,777,MS,0.75,0.6157960357231308,8.853076001241489e-07,0.6155906794316344,9.338412206059664e-07,0.00020535629149642798,0.00020535629149642798
MS_burgers_n5_twin_s777,burgers,5,twin,777,MS,1.0,0.6011482757888786,1.6401118671961067e-06,0.601216735606354,9.634290999399992e-07,-6.845981747538588e-05,6.845981747538588e-05
MS_burgers_n6_gaaf_s1234,burgers,6,gaaf,1234,MS,0.25,0.5524429164871003,1.5506032008136488e-06,0.5527385042446051,1.40434210757614e-06,-0.0002955877575048227,0.0002955877575048227
MS_burgers_n6_gaaf_s1234,burgers,6,gaaf,1234,MS,0.5,0.6101955919391446,8.549272074535267e-07,0.610342190741679,9.955402581416152e-07,-0.00014659880253431457,0.00014659880253431457
MS_burgers_n6_gaaf_s1234,burgers,6,gaaf,1234,MS,0.75,0.6151795129994644,1.2183592562834897e-06,0.6155906794316344,9.338412206059664e-07,-0.00041116643216998483,0.00041116643216998483
MS_burgers_n6_gaaf_s1234,burgers,6,gaaf,1234,MS,1.0,0.601514155787721,4.870743015118758e-07,0.601216735606354,9.634290999399992e-07,0.0002974201813670252,0.0002974201813670252
MS_burgers_n6_gaaf_s2025,burgers,6,gaaf,2025,MS,0.25,0.5522189208964909,1.6028272554042094e-06,0.5527385042446051,1.40434210757614e-06,-0.0005195833481141943,0.0005195833481141943
MS_burgers_n6_gaaf_s2025,burgers,6,gaaf,2025,MS,0.5,0.6098887153439242,8.019732823391863e-07,0.610342190741679,9.955402581416152e-07,-0.00045347539775475454,0.00045347539775475454
MS_burgers_n6_gaaf_s2025,burgers,6,gaaf,2025,MS,0.75,0.6157449854005598,1.0572430653010555e-06,0.6155906794316344,9.338412206059664e-07,0.0001543059689254056,0.0001543059689254056
MS_burgers_n6_gaaf_s2025,burgers,6,gaaf,2025,MS,1.0,0.6012572293079543,2.833786757407733e-07,0.601216735606354,9.634290999399992e-07,4.0493701600308185e-05,4.0493701600308185e-05
MS_burgers_n6_gaaf_s777,burgers,6,gaaf,777,MS,0.25,0.5523354480279774,1.3831670166625938e-06,0.5527385042446051,1.40434210757614e-06,-0.0004030562166277285,0.0004030562166277285
MS_burgers_n6_gaaf_s777,burgers,6,gaaf,777,MS,0.5,0.6102402824596691,1.081336144654817e-06,0.610342190741679,9.955402581416152e-07,-0.00010190828200984381,0.00010190828200984381
MS_burgers_n6_gaaf_s777,burgers,6,gaaf,777,MS,0.75,0.6156114162724591,8.271511033968584e-07,0.6155906794316344,9.338412206059664e-07,2.0736840824708835e-05,2.0736840824708835e-05
MS_burgers_n6_gaaf_s777,burgers,6,gaaf,777,MS,1.0,0.6009585881322324,9.281714192157961e-07,0.601216735606354,9.634290999399992e-07,-0.0002581474741216727,0.0002581474741216727
MS_burgers_n6_twin_s1234,burgers,6,twin,1234,MS,0.25,0.5525623061387067,1.419397321916414e-06,0.5527385042446051,1.40434210757614e-06,-0.00017619810589841745,0.00017619810589841745
MS_burgers_n6_twin_s1234,burgers,6,twin,1234,MS,0.5,0.609978696544857,9.43043734575422e-07,0.610342190741679,9.955402581416152e-07,-0.00036349419682191186,0.00036349419682191186
MS_burgers_n6_twin_s1234,burgers,6,twin,1234,MS,0.75,0.6158018748900856,8.43373519221662e-07,0.6155906794316344,9.338412206059664e-07,0.0002111954584512743,0.0002111954584512743
MS_burgers_n6_twin_s1234,burgers,6,twin,1234,MS,1.0,0.6012452057658939,1.5717807732665737e-06,0.601216735606354,9.634290999399992e-07,2.8470159539883966e-05,2.8470159539883966e-05
MS_burgers_n6_twin_s2025,burgers,6,twin,2025,MS,0.25,0.5526539896687602,1.6872567532354968e-06,0.5527385042446051,1.40434210757614e-06,-8.451457584490729e-05,8.451457584490729e-05
MS_burgers_n6_twin_s2025,burgers,6,twin,2025,MS,0.5,0.610377444487111,8.782255787171372e-07,0.610342190741679,9.955402581416152e-07,3.525374543200677e-05,3.525374543200677e-05
MS_burgers_n6_twin_s2025,burgers,6,twin,2025,MS,0.75,0.6156833873097616,8.969184352777978e-07,0.6155906794316344,9.338412206059664e-07,9.270787812720727e-05,9.270787812720727e-05
MS_burgers_n6_twin_s2025,burgers,6,twin,2025,MS,1.0,0.6014697963719622,6.182956635750085e-07,0.601216735606354,9.634290999399992e-07,0.0002530607656081596,0.0002530607656081596
