tag,path,family,nu,pde,model,n_feat,seed,retry,note,dead,n_steps,loss_first,loss_final,loss_min,mse_u_final,mse_f_final,wall_s,L2,params
MS_burgers_n5_twin_s1234,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n5_twin_s1234.pt,MS,0.05,burgers,twin,5,1234,False,,False,1005,2.5508084297180176,3.7223693652777e-05,3.7223693652777e-05,3.3753525485735736e-07,3.384834053576924e-05,nan,0.001378518,1853.0
MS_burgers_n5_twin_s2025,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n5_twin_s2025.pt,MS,0.05,burgers,twin,5,2025,False,,False,1005,3.5806996822357178,1.764052467478905e-05,1.764052467478905e-05,1.4823508820427378e-07,1.615817382116802e-05,nan,0.0009463712,1853.0
MS_burgers_n5_twin_s777,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n5_twin_s777.pt,MS,0.05,burgers,twin,5,777,False,,False,1005,1.9329802989959717,1.998900006583426e-05,1.998900006583426e-05,1.612209956647348e-07,1.837678973970469e-05,nan,0.0009501305,1853.0
MS_burgers_n6_gaaf_s1234,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n6_gaaf_s1234.pt,MS,0.05,burgers,gaaf,6,1234,False,,False,1005,2.0001113414764404,6.75887567922473e-05,6.75887567922473e-05,1.339398295385763e-06,5.4194773838389665e-05,nan,0.001523319,1879.0
MS_burgers_n6_gaaf_s2025,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n6_gaaf_s2025.pt,MS,0.05,burgers,gaaf,6,2025,False,,False,1005,3.864915132522583,4.05567952839192e-05,4.05567952839192e-05,5.843239136993361e-07,3.4713557397481054e-05,nan,0.001501833,1879.0
MS_burgers_n6_gaaf_s777,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n6_gaaf_s777.pt,MS,0.05,burgers,gaaf,6,777,False,,False,1005,2.018728733062744,1.6885078366613016e-05,1.6885078366613016e-05,1.0539883987803478e-07,1.583109042258002e-05,nan,0.0005551658,1879.0
MS_burgers_n6_twin_s1234,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n6_twin_s1234.pt,MS,0.05,burgers,twin,6,1234,False,,False,1005,2.0001113414764404,2.06861732294783e-05,2.06861732294783e-05,9.311797555255907e-08,1.97549943550257e-05,nan,0.0007929871,1879.0
MS_burgers_n6_twin_s2025,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n6_twin_s2025.pt,MS,0.05,burgers,twin,6,2025,False,,False,1005,3.864915132522583,2.2107975382823497e-05,2.2107975382823497e-05,4.984930797036213e-07,1.7123044017353095e-05,nan,0.001305197,1879.0
MS_burgers_n6_twin_s777,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n6_twin_s777.pt,MS,0.05,burgers,twin,6,777,False,,False,1005,2.018728733062744,2.9572154744528234e-05,2.9572154744528234e-05,2.71117670536114e-07,2.6860978323384188e-05,nan,0.001548559,1879.0
MS_burgers_n7_gaaf_s1234,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n7_gaaf_s1234.pt,MS,0.05,burgers,gaaf,7,1234,False,,False,1005,5.261765956878662,2.0692417820100673e-05,2.0692417820100673e-05,1.85147882802994e-07,1.8840939446818084e-05,nan,0.001179761,1905.0
MS_burgers_n7_gaaf_s2025,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n7_gaaf_s2025.pt,MS,0.05,burgers,gaaf,7,2025,False,,False,1005,1.6122303009033203,1.744321343721822e-05,1.744321343721822e-05,2.1456911269979173e-07,1.5297522622859105e-05,nan,0.002312169,1905.0
